"ما هو تعريف ""أدوات الاستفهام"" كما ورد في الدرس؟",هي الأدوات التي نستفهم بها عن السؤال ولمعرفة شيء نجهله.
"لأي شيء تستخدم أداتا الاستفهام ""ما"" و ""ماذا""؟",تستخدم للسؤال عن غير العاقل، مثل الجماد والحيوان والنبات.
أكمل السؤال: _____ لون قميص أحمد؟,ما لون قميص أحمد؟
"لماذا نستخدم ""ما"" للسؤال عن لون القميص في جملة ""ما لون قميص أحمد؟""",لأن اللون شيء غير عاقل.
ما هي العلامة التي توضع في نهاية كل سؤال؟,علامة الاستفهام (؟).
أكمل السؤال: _____ تأكل البقرة؟ (علماً بأن الجواب هو العشب),ماذا تأكل البقرة؟
"لماذا نستخدم ""ماذا"" في سؤال ""ماذا تأكل البقرة؟""",لأننا نسأل عن العشب، وهو شيء غير عاقل.
"فيمَ تستخدم أداة الاستفهام ""هل""؟",تستخدم للسؤال عن مضمون الجملة.
"بماذا تكون الإجابة على سؤال يبدأ بـ ""هل""؟","تكون الإجابة بـ ""نعم"" أو ""لا""."
"في السؤال ""هل فهمت الدرس؟""، ماذا تفيد الإجابة بـ ""نعم""؟",تفيد إثبات مضمون الجملة.
"في السؤال ""هل تناولت وجبة الغداء؟""، ماذا تفيد الإجابة بـ ""لا""؟",تفيد نفي مضمون الجملة.
املأ الفراغ بأداة الاستفهام المناسبة: _____ يقول المصلي في الركوع؟,ماذا
"لماذا كانت ""ماذا"" هي الأداة المناسبة لسؤال ""ماذا يقول المصلي في الركوع؟""",لأننا نسأل عن شيء غير عاقل وهو القول.
املأ الفراغ بأداة الاستفهام المناسبة: _____ قرأت الدرس جيداً؟,هل
"لماذا كانت ""هل"" هي الأداة المناسبة لسؤال ""هل قرأت الدرس جيداً؟""",لأن مضمون الجملة يتطلب الإجابة بنعم أو لا.
املأ الفراغ بأداة الاستفهام المناسبة: _____ اسم والدك؟,ما
"لماذا كانت ""ما"" هي الأداة المناسبة لسؤال ""ما اسم والدك؟""",لأننا نسأل عن الاسم، وهو غير عاقل.
"لتحويل جملة ""عاصمة فلسطين القدس"" إلى سؤال عن العاصمة، ما هي أداة الاستفهام المستخدمة؟","نستخدم أداة الاستفهام ""ما"" لأن القدس (المدينة) غير عاقل."
"كيف تحول جملة ""عاصمة فلسطين القدس"" إلى سؤال إجابته ""القدس""؟",ما عاصمة فلسطين؟
"لتحويل جملة ""تأكل الحيوانات المفترسة اللحوم"" إلى سؤال عن الطعام، ما هي أداة الاستفهام المستخدمة؟","نستخدم أداة الاستفهام ""ماذا"" لأن اللحوم شيء يؤكل غير عاقل."
"كيف تحول جملة ""تأكل الحيوانات المفترسة اللحوم"" إلى سؤال إجابته ""اللحوم""؟",ماذا تأكل الحيوانات المفترسة؟
"لتحويل جملة ""زار سعيد مدينة القدس"" إلى سؤال يتطلب الإجابة بـ ""نعم"" أو ""لا""، ما هي أداة الاستفهام المستخدمة؟","نستخدم أداة الاستفهام ""هل""."
"كيف تحول جملة ""زار سعيد مدينة القدس"" إلى سؤال عن مضمون الجملة كلها؟",هل زار سعيد مدينة القدس؟